Layer,Threshold,Alpha,accuracy,hallucination_rate,f1,tp,tn,fp,fn
4,1.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
4,1.5,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
4,2.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
8,1.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
8,1.5,10.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
8,2.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,1.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,1.5,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,2.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,1.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,1.5,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,2.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,1.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,1.5,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,2.0,10.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
24,1.0,10.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
24,1.5,10.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
24,2.0,10.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
4,1.0,20.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
4,1.5,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
4,2.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
8,1.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
8,1.5,20.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
8,2.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,1.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,1.5,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,2.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,1.0,20.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
16,1.5,20.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
16,2.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,1.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,1.5,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,2.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
24,1.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
24,1.5,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
24,2.0,20.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
4,1.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
4,1.5,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
4,2.0,30.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
8,1.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
8,1.5,30.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
8,2.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,1.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,1.5,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
12,2.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,1.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,1.5,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
16,2.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
20,1.0,30.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
20,1.5,30.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
20,2.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
24,1.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
24,1.5,30.0,78.125,41.30434782608695,0.7164179104477613,48,27,19,2
24,2.0,30.0,79.16666666666666,41.30434782608695,0.7205882352941176,49,27,19,1
