Layer,Alpha,accuracy,hallucination_rate,f1,tp,tn,fp,fn
Baseline,0.0,75.78947368421053,31.11111111111111,0.780952380952381,41,31,14,9
2,10.0,77.89473684210526,28.888888888888886,0.8000000000000002,42,32,13,8
2,30.0,75.78947368421053,44.44444444444444,0.8034188034188033,47,25,20,3
6,10.0,78.94736842105263,22.22222222222222,0.8000000000000002,40,35,10,10
6,30.0,74.73684210526315,44.44444444444444,0.793103448275862,46,25,20,4
10,10.0,78.94736842105263,28.888888888888886,0.8113207547169812,43,32,13,7
10,30.0,80.0,28.888888888888886,0.822429906542056,44,32,13,6
14,10.0,76.84210526315789,33.33333333333333,0.7962962962962963,43,30,15,7
14,30.0,64.21052631578948,75.55555555555556,0.7462686567164178,50,11,34,0
18,10.0,73.68421052631578,48.888888888888886,0.7899159663865546,47,23,22,3
18,30.0,52.63157894736842,100.0,0.6896551724137931,50,0,45,0
22,10.0,77.89473684210526,31.11111111111111,0.8037383177570094,43,31,14,7
22,30.0,73.68421052631578,46.666666666666664,0.7863247863247863,46,24,21,4
