Layer,Alpha,accuracy,hallucination_rate,f1,tp,tn,fp,fn,原始向量幅度 (Norm)
Baseline,0.0,74.72527472527473,26.82926829268293,0.7676767676767676,38,30,11,12,0
2,10.0,74.72527472527473,34.146341463414636,0.780952380952381,41,27,14,9,0.113770
2,30.0,61.53846153846154,29.268292682926827,0.6067415730337079,27,29,12,23,0.113770
6,10.0,75.82417582417582,19.51219512195122,0.7659574468085107,36,33,8,14,0.851562
6,30.0,78.02197802197803,39.02439024390244,0.8214285714285714,46,25,16,4,0.851562
10,10.0,75.82417582417582,29.268292682926827,0.7843137254901961,40,29,12,10,1.882812
10,30.0,73.62637362637363,36.58536585365854,0.7735849056603773,41,26,15,9,1.882812
14,10.0,76.92307692307693,36.58536585365854,0.8073394495412843,44,26,15,6,4.093750
14,30.0,72.52747252747253,58.536585365853654,0.7967479674796748,49,17,24,1,4.093750
18,10.0,78.02197802197803,48.78048780487805,0.8333333333333333,50,21,20,0,21.500000
18,30.0,56.043956043956044,97.5609756097561,0.7142857142857143,50,1,40,0,21.500000
22,10.0,74.72527472527473,39.02439024390244,0.7889908256880733,43,25,16,7,56.750000
22,30.0,73.62637362637363,48.78048780487805,0.793103448275862,46,21,20,4,56.750000
