Layer,Alpha,accuracy,hallucination_rate,f1,tp,tn,fp,fn
Baseline,0.0,81.05263157894737,20.0,0.82,41,36,9,9
2,10.0,77.89473684210526,17.77777777777778,0.7789473684210526,37,37,8,13
2,30.0,50.526315789473685,13.333333333333334,0.2769230769230769,9,39,6,41
6,10.0,84.21052631578947,15.555555555555555,0.8484848484848485,42,38,7,8
6,30.0,83.15789473684211,28.888888888888886,0.8545454545454546,47,32,13,3
10,10.0,81.05263157894737,17.77777777777778,0.816326530612245,40,37,8,10
10,30.0,85.26315789473684,26.666666666666668,0.8727272727272728,48,33,12,2
14,10.0,84.21052631578947,20.0,0.8543689320388349,44,36,9,6
14,30.0,72.63157894736842,55.55555555555556,0.7903225806451613,49,20,25,1
18,10.0,76.84210526315789,46.666666666666664,0.8166666666666667,49,24,21,1
18,30.0,52.63157894736842,100.0,0.6896551724137931,50,0,45,0
22,10.0,82.10526315789474,22.22222222222222,0.8349514563106797,43,35,10,7
22,30.0,76.84210526315789,42.22222222222222,0.810344827586207,47,26,19,3
